number,name,address,bike_stands,available_bike_stands,available_bikes,lat,lon,temperature,relative_humidity,apparent_temperature,precipitation,rain,surface_pressure
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,20,15,5,46.54199,15.63831,13.2,93,12.9,0.7,0.7,958.5
10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,20,10,10,46.557328,15.646833,13.4,92,13.2,0.5,0.5,960.2
9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,20,16,4,46.558519,15.649072,13.4,92,13.2,0.5,0.5,959.6
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,20,17,3,46.561555,15.65692,13.2,93,13.3,0.7,0.7,960.3
20,EUROPARK - POBREŠKA C.,Pobreška cesta 18,21,16,5,46.554703,15.652826,13.3,93,13.4,0.7,0.7,961.5
4,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,20,3,17,46.558498,15.64146,13.4,92,13.2,0.5,0.5,960.0
1,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,22,5,17,46.562695,15.62935,13.8,90,13.4,0.3,0.3,959.0
16,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,20,1,19,46.559319,15.63498,13.4,92,13.2,0.5,0.5,960.0
3,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,20,14,6,46.560761,15.64053,13.4,92,13.2,0.5,0.5,959.3
21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,20,7,13,46.550683,15.639333,13.4,92,13.2,0.5,0.5,959.2
6,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,20,9,11,46.558924,15.644443,13.4,92,13.2,0.5,0.5,960.0
22,DVORANA TABOR,Gorkega ulica 48,20,8,12,46.549005,15.635014,13.2,93,12.9,0.7,0.7,958.9
14,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,20,13,7,46.552652,15.646023,13.4,92,13.2,0.5,0.5,959.2
19,LIDL - TITOVA C.,Titova cesta 15,20,8,12,46.551963,15.651564,13.1,93,13.2,0.7,0.7,959.5
25,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,20,10,10,46.542655,15.634329,13.2,93,12.9,0.7,0.7,959.0
17,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,20,9,11,46.553109,15.624098,13.8,90,13.4,0.3,0.3,958.7
28,UM FGPA - LENT - SODNI STOLP,Pristan 6,20,6,14,46.556731,15.64212,13.5,92,13.3,0.5,0.5,961.1
8,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,20,17,3,46.56196,15.650235,13.1,93,13.2,0.7,0.7,959.1
7,PARTIZANSKA C. - TIC,Partizanska cesta 6a,20,10,10,46.560227,15.650781,13.1,93,13.2,0.7,0.7,959.6
2,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,22,11,11,46.561422,15.637118,13.4,92,13.2,0.5,0.5,959.4
5,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,16,7,9,46.56294,15.644185,13.4,92,13.2,0.5,0.5,959.0
12,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,20,10,10,46.558534,15.654739,13.2,93,13.3,0.7,0.7,960.2
29,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,20,18,2,46.556534,15.647629,13.6,92,13.4,0.5,0.5,961.3
15,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,20,14,6,46.548853,15.645591,13.2,93,12.9,0.7,0.7,959.0
26,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,20,9,11,46.543986,15.629317,14.1,89,13.3,0.3,0.3,958.7
23,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,20,8,12,46.545947,15.644015,13.2,93,12.9,0.7,0.7,959.3
27,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,20,13,7,46.554741,15.659814,13.4,93,13.5,0.7,0.7,962.5
18,LIDL - KOROŠKA C.,Koroška cesta 173,20,11,9,46.565603,15.623133,13.8,90,13.4,0.3,0.3,959.1
11,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,20,14,6,46.56056,15.652935,13.1,93,13.2,0.7,0.7,959.6
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,20,17,3,46.54199,15.63831,13.4,80,12.1,0.1,0.1,958.1
10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,20,8,12,46.557328,15.646833,13.8,79,12.9,0.3,0.3,959.6
9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,20,14,6,46.558519,15.649072,13.8,79,12.9,0.3,0.3,959.1
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,20,16,4,46.561555,15.65692,13.2,88,12.0,0.1,0.1,959.9
20,EUROPARK - POBREŠKA C.,Pobreška cesta 18,21,17,4,46.554703,15.652826,13.4,88,12.2,0.1,0.1,961.2
4,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,20,6,14,46.558498,15.64146,13.8,79,12.9,0.3,0.3,959.4
1,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,22,5,17,46.562695,15.62935,14.1,75,13.8,0.3,0.3,958.6
16,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,20,1,19,46.559319,15.63498,13.8,79,12.9,0.3,0.3,959.4
3,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,20,14,6,46.560761,15.64053,13.8,79,12.9,0.3,0.3,958.7
21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,20,6,14,46.550683,15.639333,13.8,79,12.9,0.3,0.3,958.6
6,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,20,9,11,46.558924,15.644443,13.8,79,12.9,0.3,0.3,959.4
22,DVORANA TABOR,Gorkega ulica 48,20,10,10,46.549005,15.635014,13.4,80,12.1,0.1,0.1,958.6
14,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,20,13,7,46.552652,15.646023,13.8,79,12.9,0.3,0.3,958.6
19,LIDL - TITOVA C.,Titova cesta 15,20,8,12,46.551963,15.651564,13.2,88,12.0,0.1,0.1,959.1
25,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,20,10,10,46.542655,15.634329,13.4,80,12.1,0.1,0.1,958.7
17,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,20,8,12,46.553109,15.624098,14.1,75,13.8,0.3,0.3,958.2
28,UM FGPA - LENT - SODNI STOLP,Pristan 6,20,6,14,46.556731,15.64212,13.9,79,13.0,0.3,0.3,960.6
8,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,20,18,2,46.56196,15.650235,13.2,88,12.0,0.1,0.1,958.8
7,PARTIZANSKA C. - TIC,Partizanska cesta 6a,20,11,9,46.560227,15.650781,13.2,88,12.0,0.1,0.1,959.2
2,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,22,10,12,46.561422,15.637118,13.8,79,12.9,0.3,0.3,958.8
5,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,16,6,10,46.56294,15.644185,13.8,79,12.9,0.3,0.3,958.5
12,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,20,10,10,46.558534,15.654739,13.2,88,12.0,0.1,0.1,959.8
29,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,20,18,2,46.556534,15.647629,13.9,79,13.1,0.3,0.3,960.8
15,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,20,13,7,46.548853,15.645591,13.4,80,12.1,0.1,0.1,958.7
26,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,20,9,11,46.543986,15.629317,14.0,69,12.9,0.3,0.3,958.3
23,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,20,8,12,46.545947,15.644015,13.4,80,12.1,0.1,0.1,958.9
27,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,20,13,7,46.554741,15.659814,13.4,88,12.2,0.1,0.1,962.1
18,LIDL - KOROŠKA C.,Koroška cesta 173,20,11,9,46.565603,15.623133,14.1,75,13.8,0.3,0.3,958.7
11,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,20,13,7,46.56056,15.652935,13.2,88,12.0,0.1,0.1,959.2
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,20,16,4,46.54199,15.63831,13.2,79,11.6,0.0,0.0,958.1
10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,20,8,12,46.557328,15.646833,13.6,78,12.5,0.0,0.0,959.6
9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,20,14,6,46.558519,15.649072,13.6,78,12.5,0.0,0.0,959.1
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,20,16,4,46.561555,15.65692,13.1,86,11.6,0.0,0.0,959.9
20,EUROPARK - POBREŠKA C.,Pobreška cesta 18,21,18,3,46.554703,15.652826,13.1,86,11.6,0.0,0.0,961.1
4,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,20,8,12,46.558498,15.64146,13.6,78,12.5,0.0,0.0,959.4
1,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,22,5,17,46.562695,15.62935,13.9,74,13.4,0.0,0.0,958.5
16,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,20,1,19,46.559319,15.63498,13.6,78,12.5,0.0,0.0,959.4
3,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,20,14,6,46.560761,15.64053,13.6,78,12.5,0.0,0.0,958.7
21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,20,6,14,46.550683,15.639333,13.6,78,12.5,0.0,0.0,958.6
6,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,20,9,11,46.558924,15.644443,13.6,78,12.5,0.0,0.0,959.4
22,DVORANA TABOR,Gorkega ulica 48,20,10,10,46.549005,15.635014,13.2,79,11.6,0.0,0.0,958.5
14,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,20,13,7,46.552652,15.646023,13.6,78,12.5,0.0,0.0,958.6
19,LIDL - TITOVA C.,Titova cesta 15,20,8,12,46.551963,15.651564,13.1,86,11.5,0.0,0.0,959.1
25,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,20,10,10,46.542655,15.634329,13.2,79,11.6,0.0,0.0,958.7
17,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,20,8,12,46.553109,15.624098,13.9,74,13.4,0.0,0.0,958.2
28,UM FGPA - LENT - SODNI STOLP,Pristan 6,20,5,15,46.556731,15.64212,13.6,78,12.6,0.0,0.0,960.5
8,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,20,18,2,46.56196,15.650235,13.1,86,11.5,0.0,0.0,958.7
7,PARTIZANSKA C. - TIC,Partizanska cesta 6a,20,9,11,46.560227,15.650781,13.1,86,11.5,0.0,0.0,959.2
2,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,22,10,12,46.561422,15.637118,13.6,78,12.5,0.0,0.0,958.8
5,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,16,6,10,46.56294,15.644185,13.6,78,12.5,0.0,0.0,958.5
12,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,20,10,10,46.558534,15.654739,13.1,86,11.6,0.0,0.0,959.8
29,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,20,18,2,46.556534,15.647629,13.6,78,12.6,0.0,0.0,960.8
15,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,20,13,7,46.548853,15.645591,13.2,79,11.6,0.0,0.0,958.7
26,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,20,9,11,46.543986,15.629317,13.6,69,12.5,0.0,0.0,958.3
23,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,20,8,12,46.545947,15.644015,13.2,79,11.6,0.0,0.0,958.9
27,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,20,14,6,46.554741,15.659814,13.2,86,11.7,0.0,0.0,962.1
18,LIDL - KOROŠKA C.,Koroška cesta 173,20,11,9,46.565603,15.623133,13.9,74,13.4,0.0,0.0,958.7
11,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,20,13,7,46.56056,15.652935,13.1,86,11.5,0.0,0.0,959.2
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,20,15,5,46.54199,15.63831,12.4,78,10.2,0.0,0.0,958.4
10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,20,8,12,46.557328,15.646833,12.9,76,11.0,0.0,0.0,959.8
9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,20,14,6,46.558519,15.649072,12.9,76,11.0,0.0,0.0,959.3
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,20,18,2,46.561555,15.65692,12.6,81,10.3,0.0,0.0,960.0
20,EUROPARK - POBREŠKA C.,Pobreška cesta 18,21,18,3,46.554703,15.652826,12.7,81,10.4,0.0,0.0,961.3
4,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,20,8,12,46.558498,15.64146,12.9,76,11.0,0.0,0.0,959.6
1,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,22,8,14,46.562695,15.62935,12.9,74,11.4,0.0,0.0,958.7
16,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,20,0,20,46.559319,15.63498,12.9,76,11.0,0.0,0.0,959.6
3,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,20,14,6,46.560761,15.64053,12.8,76,10.9,0.0,0.0,958.9
21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,20,4,16,46.550683,15.639333,12.8,76,10.9,0.0,0.0,958.8
6,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,20,11,9,46.558924,15.644443,12.9,76,11.0,0.0,0.0,959.6
22,DVORANA TABOR,Gorkega ulica 48,20,10,10,46.549005,15.635014,12.4,78,10.2,0.0,0.0,958.8
14,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,20,13,7,46.552652,15.646023,12.8,76,10.9,0.0,0.0,958.8
19,LIDL - TITOVA C.,Titova cesta 15,20,8,12,46.551963,15.651564,12.6,81,10.2,0.0,0.0,959.2
25,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,20,10,10,46.542655,15.634329,12.4,78,10.2,0.0,0.0,959.0
17,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,20,6,14,46.553109,15.624098,12.9,74,11.4,0.0,0.0,958.4
28,UM FGPA - LENT - SODNI STOLP,Pristan 6,20,5,15,46.556731,15.64212,12.9,76,11.0,0.0,0.0,960.8
8,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,20,18,2,46.56196,15.650235,12.6,81,10.2,0.0,0.0,958.9
7,PARTIZANSKA C. - TIC,Partizanska cesta 6a,20,9,11,46.560227,15.650781,12.6,81,10.2,0.0,0.0,959.3
2,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,22,10,12,46.561422,15.637118,12.8,76,10.9,0.0,0.0,959.0
5,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,16,6,10,46.56294,15.644185,12.8,76,10.9,0.0,0.0,958.7
12,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,20,9,11,46.558534,15.654739,12.6,81,10.3,0.0,0.0,959.9
29,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,20,18,2,46.556534,15.647629,12.9,76,11.1,0.0,0.0,961.0
15,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,20,15,5,46.548853,15.645591,12.4,78,10.2,0.0,0.0,959.0
26,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,20,9,11,46.543986,15.629317,12.6,72,10.9,0.0,0.0,958.4
23,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,20,8,12,46.545947,15.644015,12.4,78,10.2,0.0,0.0,959.2
27,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,20,14,6,46.554741,15.659814,12.8,81,10.4,0.0,0.0,962.2
18,LIDL - KOROŠKA C.,Koroška cesta 173,20,9,11,46.565603,15.623133,12.9,74,11.4,0.0,0.0,958.8
11,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,20,12,8,46.56056,15.652935,12.6,81,10.2,0.0,0.0,959.3
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,20,15,5,46.54199,15.63831,12.4,78,10.2,0.0,0.0,958.4
10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,20,8,12,46.557328,15.646833,12.9,76,11.0,0.0,0.0,959.8
9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,20,14,6,46.558519,15.649072,12.9,76,11.0,0.0,0.0,959.3
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,20,18,2,46.561555,15.65692,12.6,81,10.3,0.0,0.0,960.0
20,EUROPARK - POBREŠKA C.,Pobreška cesta 18,21,18,3,46.554703,15.652826,12.7,81,10.4,0.0,0.0,961.3
4,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,20,7,13,46.558498,15.64146,12.9,76,11.0,0.0,0.0,959.6
1,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,22,8,14,46.562695,15.62935,12.9,74,11.4,0.0,0.0,958.7
16,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,20,0,20,46.559319,15.63498,12.9,76,11.0,0.0,0.0,959.6
3,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,20,14,6,46.560761,15.64053,12.8,76,10.9,0.0,0.0,958.9
21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,20,4,16,46.550683,15.639333,12.8,76,10.9,0.0,0.0,958.8
6,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,20,11,9,46.558924,15.644443,12.9,76,11.0,0.0,0.0,959.6
22,DVORANA TABOR,Gorkega ulica 48,20,10,10,46.549005,15.635014,12.4,78,10.2,0.0,0.0,958.8
14,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,20,13,7,46.552652,15.646023,12.8,76,10.9,0.0,0.0,958.8
19,LIDL - TITOVA C.,Titova cesta 15,20,8,12,46.551963,15.651564,12.6,81,10.2,0.0,0.0,959.2
25,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,20,10,10,46.542655,15.634329,12.4,78,10.2,0.0,0.0,959.0
17,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,20,6,14,46.553109,15.624098,12.9,74,11.4,0.0,0.0,958.4
28,UM FGPA - LENT - SODNI STOLP,Pristan 6,20,5,15,46.556731,15.64212,12.9,76,11.0,0.0,0.0,960.8
8,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,20,18,2,46.56196,15.650235,12.6,81,10.2,0.0,0.0,958.9
7,PARTIZANSKA C. - TIC,Partizanska cesta 6a,20,9,11,46.560227,15.650781,12.6,81,10.2,0.0,0.0,959.3
2,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,22,10,12,46.561422,15.637118,12.8,76,10.9,0.0,0.0,959.0
5,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,16,6,10,46.56294,15.644185,12.8,76,10.9,0.0,0.0,958.7
12,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,20,9,11,46.558534,15.654739,12.6,81,10.3,0.0,0.0,959.9
29,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,20,18,2,46.556534,15.647629,12.9,76,11.1,0.0,0.0,961.0
15,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,20,15,5,46.548853,15.645591,12.4,78,10.2,0.0,0.0,959.0
26,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,20,9,11,46.543986,15.629317,12.6,72,10.9,0.0,0.0,958.4
23,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,20,8,12,46.545947,15.644015,12.4,78,10.2,0.0,0.0,959.2
